logFC	logCPM	LR	PValue	FDR
HORVU.MOREX.r3.3HG0309470	-1.29345181218953	2.97920005746393	14.7774680454418	0.000120972357932892	0.174334779687681
HORVU.MOREX.r3.4HG0335230	1.71388704722948	-0.805568634358712	14.7012781070672	0.000125961020989031	0.174334779687681
HORVU.MOREX.r3.5HG0430540	4.8541274639781	-3.00883832683425	14.6546632736199	0.000129114802936242	0.174334779687681
HORVU.MOREX.r3.5HG0430240	-1.9841491218809	4.23217969004754	14.4002384759235	0.000147783593801666	0.192151512740788
HORVU.MOREX.r3.1HG0061220	4.87404680260731	-3.00413465788168	14.2322453393532	0.00016157796876756	0.199074171032987
HORVU.MOREX.r3.1HG0087850	-1.17238211789142	5.35498799150595	14.1913698782933	0.000165126118948014	0.199074171032987
HORVU.MOREX.r3.2HG0200390	-1.40595631233471	6.63345309857544	14.0336785548351	0.000179565545327502	0.199074171032987
HORVU.MOREX.r3.7HG0665290	-5.197560399162	-2.83105854968679	14.023409690423	0.000180548802415289	0.199074171032987
HORVU.MOREX.r3.3HG0323400	3.32070841467303	-2.5192347475863	13.9563264161501	0.000187106929678547	0.199074171032987
HORVU.MOREX.r3.2HG0188970	-4.77465042176112	-3.05312107722469	13.9560769307095	0.000187131762208414	0.199074171032987
HORVU.MOREX.r3.2HG0191600	6.96405166082361	-1.66896252221984	13.3945065385378	0.000252362324500926	0.26022308479943
HORVU.MOREX.r3.1HG0027490	-1.06401827106972	2.91744738712423	13.3426507823574	0.000259437360222755	0.26022308479943
HORVU.MOREX.r3.6HG0602510	-1.1014027906162	3.80042064644424	12.9857950748642	0.00031386303433954	0.306068768986775
HORVU.MOREX.r3.6HG0618720	1.33530822377424	4.16693044218305	12.8641499278854	0.000334937007479128	0.306987878571772
HORVU.MOREX.r3.3HG0313430	-1.44275065165399	2.47906490125065	12.8475132692362	0.00033792802661879	0.306987878571772
HORVU.MOREX.r3.2HG0176940	-4.58506616466078	4.03382846465363	12.7930686972015	0.000347905961014157	0.306987878571772
HORVU.MOREX.r3.5HG0484850	-1.73640197156152	0.93555975326125	12.7829977784293	0.000349783944136925	0.306987878571772
HORVU.MOREX.r3.7HG0674400	-1.93978948853373	3.20824845474905	12.6993104641432	0.00036579043347409	0.309579407728676
HORVU.MOREX.r3.6HG0615840	-0.652483317152526	4.29020577415593	12.6760276937483	0.000370373586412704	0.309579407728676
HORVU.MOREX.r3.7HG0742240	2.21503532868255	2.50693642571007	12.5451733178862	0.000397231021260348	0.32430679610153
HORVU.MOREX.r3.2HG0163320	-2.16908931536153	-1.18382014906295	12.3349837040444	0.000444547986164834	0.348961836860777
HORVU.MOREX.r3.3HG0319530	-0.619659889778202	6.55517773198214	12.3234195365425	0.000447310506999799	0.348961836860777
HORVU.MOREX.r3.3HG0318620	0.759802004498717	8.4116200912872	12.2073727439788	0.000476010220151309	0.358180152166815
HORVU.MOREX.r3.2HG0096390	-4.8304844072937	-3.01369575303934	12.1883612100333	0.000480886111902205	0.358180152166815
HORVU.MOREX.r3.2HG0209510	1.78152103341858	0.802138218818171	12.1543491735999	0.000489735296074947	0.358180152166815
HORVU.MOREX.r3.4HG0334680	-5.44905041059378	-2.67654605480236	11.9889405827392	0.000535172054773715	0.370085347975097
HORVU.MOREX.r3.5HG0510940	-1.01132968604598	3.41657913264532	11.9885602029036	0.00053528130353554	0.370085347975097
HORVU.MOREX.r3.2HG0161720	-1.06258858336707	5.55496102054314	11.951472615747	0.000546042055672286	0.370085347975097
HORVU.MOREX.r3.7HG0673270	-4.55849564977082	-3.1535003917546	11.9348479991807	0.000550936227912583	0.370085347975097
HORVU.MOREX.r3.3HG0318610	1.76017977290855	5.11493444231928	11.9050825949808	0.000559809862556379	0.370085347975097
HORVU.MOREX.r3.5HG0472610	3.08175537000816	-1.53760072601788	11.8738870890313	0.000569264763591842	0.370085347975097
HORVU.MOREX.r3.5HG0464780	-1.04191451943946	4.94852481364283	11.7894896860177	0.000595660614010667	0.375339511721763
HORVU.MOREX.r3.2HG0191640	3.22257352663567	-2.56715701043455	11.7761101436448	0.000599957220165712	0.375339511721763
HORVU.MOREX.r3.1HG0031260	-6.01899595529295	-0.398828873329951	11.7341306060633	0.000613642438205867	0.375339511721763
HORVU.MOREX.r3.2HG0153230	-0.646553688596875	8.18265647800884	11.7058323487303	0.000623045060114731	0.375339511721763
HORVU.MOREX.r3.5HG0481530	-1.12993804750227	4.91143492742537	11.6828016580223	0.000630804739690765	0.375339511721763
HORVU.MOREX.r3.1HG0078500	6.48623064661048	-2.04684274195549	11.5408391461301	0.000680839027442221	0.38874664423289
HORVU.MOREX.r3.6HG0624020	-4.3888961231708	-3.21636541228587	11.5362072357783	0.000682537414758959	0.38874664423289
