"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HORVU.MOREX.r3.1HG0002440",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002450",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002470",1.97098267197905,-7.39495309525093e-07,0.00144269453523224,0.274289357507822,NA
"HORVU.MOREX.r3.1HG0002500",7.11889370873265,-5.08472572070993e-07,0.00144269276253018,0.692775140161158,NA
"HORVU.MOREX.r3.1HG0002510",11675.1982964144,9.28612389979333e-07,0.00144265020452122,0.871598583979666,0.999875898879627
"HORVU.MOREX.r3.1HG0002520",9.48024816280475,-4.4618824724631e-07,0.00144269367349787,0.656698974941847,NA
"HORVU.MOREX.r3.1HG0002530",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002560",197.379400958981,-2.82560973394647e-06,0.00144265954518407,0.582605976147926,0.999875898879627
"HORVU.MOREX.r3.1HG0002570",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002580",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002590",299.95067042526,3.38947191798045e-07,0.00144265343836067,0.952000229897611,0.999875898879627
"HORVU.MOREX.r3.1HG0002630",44.0596228590837,1.64664403971588e-06,0.00144268717855742,0.504164899411443,0.999875898879627
"HORVU.MOREX.r3.1HG0002640",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002660",1187.57875123892,4.69546068396997e-06,0.00144261537937535,0.718659004964357,0.999875898879627
"HORVU.MOREX.r3.1HG0002670",13.0130456907297,5.86916506872018e-07,0.00144269398152333,0.519598432146368,NA
"HORVU.MOREX.r3.1HG0002680",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002690",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002750",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002770",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002800",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002810",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002820",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002830",1534.2856579405,6.33282650948046e-06,0.00144264664528287,0.317360307297289,0.999875898879627
"HORVU.MOREX.r3.1HG0002840",3593.12984660904,5.47112692276381e-06,0.00144266327833495,0.290879745491645,0.999875898879627
"HORVU.MOREX.r3.1HG0002850",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002860",23.9886030957204,-3.45923438586977e-07,0.00144268803229575,0.87596608262478,0.999875898879627
"HORVU.MOREX.r3.1HG0002870",763.656028038556,-3.971779295736e-06,0.00144265640809327,0.466070480122879,0.999875898879627
"HORVU.MOREX.r3.1HG0002880",8978.2716713271,5.69194119067738e-06,0.00144263622046095,0.405174119775379,0.999875898879627
"HORVU.MOREX.r3.1HG0002890",459.246795630569,-4.59689291161946e-06,0.00144264669010259,0.452210811387779,0.999875898879627
"HORVU.MOREX.r3.1HG0002910",13.1571980990776,8.61691668390122e-07,0.00144269281419223,0.511964104784675,NA
"HORVU.MOREX.r3.1HG0002920",22.9737889430235,7.3469179336971e-07,0.00144268517951655,0.785230453192036,0.999875898879627
"HORVU.MOREX.r3.1HG0002940",6.43956022057253,5.53390755903358e-07,0.00144269140889331,0.735808314039622,NA
"HORVU.MOREX.r3.1HG0002950",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002960",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002980",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002990",0.87145602512631,6.67344043772128e-07,0.00144269474294566,0.212829655727637,NA
"HORVU.MOREX.r3.1HG0003000",1.42771928924109,9.63756229526604e-08,0.00144269439236827,0.907621801089073,NA
"HORVU.MOREX.r3.1HG0003010",11.2868841035678,-3.90827010474716e-07,0.00144269068839144,0.824643431706218,NA
"HORVU.MOREX.r3.1HG0003030",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003040",3.28924705890568,1.23805098224592e-06,0.00144269443103704,0.134295831669856,NA
"HORVU.MOREX.r3.1HG0003050",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003060",1.18023535630117,8.15296903393186e-08,0.00144269480024033,0.846335550506369,NA
"HORVU.MOREX.r3.1HG0003070",4.37612884673823,1.24444653231607e-06,0.00144269326152261,0.307751441378825,NA
"HORVU.MOREX.r3.1HG0003080",0.784858309145144,1.20698269837959e-07,0.00144269484123172,0.731452842269886,NA
"HORVU.MOREX.r3.1HG0003090",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003100",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003110",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003120",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003130",375.952212094257,-5.29693704113276e-06,0.00144262573806847,0.468192771803885,0.999875898879627
"HORVU.MOREX.r3.1HG0003140",9781.39972497667,2.77156290580233e-06,0.00144260759994125,0.730483027465078,0.999875898879627
"HORVU.MOREX.r3.1HG0003150",459.142268910887,-2.12331609406408e-06,0.00144258849331542,0.875748120908651,0.999875898879627
"HORVU.MOREX.r3.1HG0003160",0.541434117457032,2.40418912350229e-07,0.00144269501301692,0.460908681253157,NA
"HORVU.MOREX.r3.1HG0003170",0.115408224501058,1.51752218550349e-07,0.00144269498759044,0.840823533975817,NA
"HORVU.MOREX.r3.1HG0003180",49.6065187122517,-5.45457267131762e-07,0.0014426887625854,0.796168807119837,0.999875898879627
"HORVU.MOREX.r3.1HG0003200",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003210",0.125967556528725,-1.70032784075794e-07,0.00144269499060449,0.835691158998516,NA
"HORVU.MOREX.r3.1HG0003220",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003230",0.249747206352162,2.16968366591023e-07,0.00144269499646334,0.686504918881014,NA
