	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HORVU.MOREX.r3.1HG0001920	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001930	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001940	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001950	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001980	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001990	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002010	53.9616744404362	-2.3498248301367	0.680393077324779	-3.45362836343944	0.000553099008099492	0.0699493724285825
HORVU.MOREX.r3.1HG0002020	297.642755329954	-1.8272728477027	0.521729713823875	-3.50233617002606	0.000461197316018664	0.0618351168364272
HORVU.MOREX.r3.1HG0002040	71.6241818384138	0.147024187951384	0.375540193165132	0.391500538763196	0.695427290506392	0.999457307108351
HORVU.MOREX.r3.1HG0002050	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002060	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002080	291.036987716088	0.037161984939024	0.278942707139464	0.133224436373036	0.894015885672882	0.999457307108351
HORVU.MOREX.r3.1HG0002090	0.180055227117548	0.904916749943189	4.0804728567969	0.221767619023824	0.8244947880717	NA
HORVU.MOREX.r3.1HG0002100	0.772742656296771	-3.09414661413032	3.96541733258517	-0.780282717963802	0.435224482883255	NA
HORVU.MOREX.r3.1HG0002130	243.221176738799	-0.10071678315763	0.283552667368893	-0.355196034980693	0.722442734946793	0.999457307108351
HORVU.MOREX.r3.1HG0002140	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002160	623.483231036222	-0.167007996987224	0.235329885557544	-0.709676106761998	0.477905012131976	0.999457307108351
HORVU.MOREX.r3.1HG0002170	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002180	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002190	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002200	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002210	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002220	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002230	0	NA	NA	NA	NA	NA
